iter	Passed	Remaining
722	20653	7912
723	20681	7884
724	20707	7854
725	20733	7825
726	20762	7796
727	20789	7767
728	20816	7738
729	20844	7709
730	20871	7680
731	20897	7651
732	20924	7621
733	20950	7592
734	20979	7563
735	21005	7534
736	21030	7504
737	21057	7475
738	21085	7446
739	21111	7417
740	21140	7389
741	21165	7359
742	21191	7330
743	21219	7301
744	21247	7272
745	21273	7243
746	21300	7214
747	21330	7186
748	21359	7157
749	21385	7128
750	21411	7098
751	21437	7069
752	21464	7040
753	21489	7011
754	21515	6981
755	21546	6954
756	21572	6924
757	21598	6895
758	21625	6866
759	21653	6838
760	21679	6808
761	21707	6780
762	21733	6750
763	21758	6721
764	21784	6692
765	21811	6663
766	21838	6633
767	21868	6606
768	21894	6576
769	21921	6547
770	21949	6519
771	21974	6489
772	22002	6461
773	22029	6432
774	22059	6404
775	22088	6375
776	22115	6347
777	22143	6318
778	22170	6289
779	22196	6260
780	22222	6231
781	22246	6201
782	22274	6173
783	22300	6144
784	22326	6114
785	22353	6086
786	22380	6057
787	22407	6028
788	22433	5999
789	22459	5970
790	22486	5941
791	22514	5912
792	22541	5884
793	22572	5856
794	22600	5827
795	22627	5798
796	22653	5769
797	22679	5740
798	22706	5712
799	22735	5683
800	22762	5655
801	22788	5626
802	22815	5597
803	22843	5568
804	22871	5540
805	22898	5511
806	22925	5482
807	22951	5453
808	22978	5425
809	23004	5396
810	23031	5367
811	23059	5338
812	23085	5310
813	23114	5281
814	23141	5252
815	23168	5224
816	23193	5195
817	23221	5166
818	23248	5137
819	23279	5110
820	23305	5081
821	23333	5052
822	23362	5024
823	23388	4995
824	23414	4966
825	23444	4938
826	23471	4909
827	23496	4880
828	23525	4852
829	23554	4824
830	23581	4795
831	23607	4766
832	23636	4738
833	23663	4710
834	23689	4681
835	23718	4652
836	23744	4623
837	23770	4595
838	23796	4566
839	23821	4537
840	23848	4508
841	23873	4479
842	23900	4451
843	23927	4422
844	23955	4394
845	23983	4365
846	24013	4337
847	24039	4308
848	24068	4280
849	24094	4251
850	24122	4223
851	24151	4195
852	24180	4167
853	24207	4138
854	24235	4110
855	24260	4081
856	24287	4052
